artifact_name,artifact_link,artifact_studies,artifact_maturity,artifact_type,artificat_evidence_level,artifact_input,artifact_level_automation,artifact_vendor,artifact_n_studies,artifact_license
A-CMA,"https://github.com/eknkc/a-cma
https://github.com/mmohan01/a-cma
https://hrahmadi71.github.io/a-cma/","['85', '445']","{'Proof-of-concept': ['85', '445']}","{'Tool': ['85', '445']}","{'Examples': ['85'], 'Academic Studies': ['445']}","{'Source Code': ['85', '445']}","{'It automates a process': ['85', '445']}",['445'],2,"{'Open Source': ['85', '445']}"
A-CMA DQN,https://hrahmadi71.github.io/a-cma/,['445'],{'Proof-of-concept': ['445']},{'Tool': ['445']},{'Academic Studies': ['445']},{'Source Code': ['445']},{'It automates a process': ['445']},['445'],1,{'Open Source': ['445']}
ADACONTROL,https://www.adalog.fr/en/adacontrol.html,['Zengyang-S14'],{'Validation in relevant environment': ['Zengyang-S14']},{'Tool': ['Zengyang-S14']},{'Industrial Studies': ['Zengyang-S14']},{'Source Code': ['Zengyang-S14']},{'It automates a task': ['Zengyang-S14']},[],1,{'Open Source': ['Zengyang-S14']}
AI REVIEWER,http://www.aireviewer.com,['349'],{'Proof-of-concept': ['349']},{'Tool': ['349']},{'Academic Studies': ['349']},{'Source Code': ['349']},{'It automates a task': ['349']},[],1,{'Various': ['349']}
ANACONDEBT,https://ericsson.anacondebt.com/,"['123', '334']","{'Demonstration in real environment': ['123'], None: ['334']}","{None: ['123', '334']}","{'Industrial Studies': ['123'], None: ['334']}","{'User Input': ['123'], None: ['334']}","{'It automates a task (e.g., static code analysis)': ['123'], None: ['334']}",['123'],2,"{'Needs an authorization': ['123'], None: ['334']}"
APACHE JMETER,http://jmeter.apache.org/,['67'],{'Runnig Examples': ['67']},{'Tool': ['67']},{'Examples': ['67']},"{'Source Code\r\nExecutition Data (E.g., memory usage)': ['67']}",{'It automates a task': ['67']},[],1,{'Free': ['67']}
ARCADE,Not Accessible,['349'],{'Proof-of-concept': ['349']},{'Tool': ['349']},{'Academic Studies': ['349']},{'Source Code': ['349']},{'It automates a task': ['349']},[],1,{'Various': ['349']}
ARCAN,https://gitlab.com/essere.lab.public/arcan,"['158', '237', '271', '353', '250', '184', '398', '414', '200', '229', '349', '350']","{'Proof-of-concept': ['158', '237', '353', '250', '184', '398', '414', '200', '229', '349', '350'], 'Runnig Examples': ['271']}","{'Tool': ['158', '237', '353', '250', '184', '414', '349', '350'], 'Approach (e.g., integration of different tools)': ['271', '398', '200'], 'Plugin': ['229']}","{'Expert Opinion': ['158', '250'], 'Examples': ['237', '271', '353'], 'Academic Studies': ['184', '398', '414', '200', '229', '349', '350']}","{'Source Code': ['158', '237', '271', '250', '184', '398', '414', '229', '349', '350'], 'Source code': ['353'], None: ['200']}","{'It automates a task (e.g., static code analysis)': ['158', '237', '271'], 'It automates a task': ['353', '250', '184', '398', '229', '349', '350'], 'It automates a process': ['414', '200']}","['200', '229']",12,"{'Free': ['158', '237', '271', '353', '250', '184', '398'], 'Open Source': ['414', '200', '229', '350'], 'Various': ['349']}"
ARCAN FOR C/C++,https://essere.disco.unimib.it/wiki/arcan/,['186'],{'Proof-of-concept': ['186']},{'Tool': ['186']},{'Examples': ['186']},{'Source Code': ['186']},"{'It automates a task (e.g., static code analysis)': ['186']}",['186'],1,{'Free': ['186']}
ARCHINAUT,http://software-archinaut.com/,['340'],{None: ['340']},{None: ['340']},{None: ['340']},{None: ['340']},{None: ['340']},[],1,{None: ['340']}
ASTRACKER,https://github.com/darius-sas/astracker,['200'],{'Proof-of-concept': ['200']},"{'Approach (e.g., integration of different tools)': ['200']}",{'Academic Studies': ['200']},{None: ['200']},{'It automates a process': ['200']},['200'],1,{'Open Source': ['200']}
ATDX,"https://github.com/S2-group/ATDx_replication_package
https://github.com/ATDindeX/ATDx","['433', '299']","{None: ['433'], 'Proof-of-concept': ['299']}","{'Approach (e.g., integration of different tools)': ['433', '299']}","{None: ['433'], 'Academic Studies': ['299']}","{'Source Code': ['433'], 'Data generated by other tools (e.g., Sonarqub)': ['299']}","{'It automates a process': ['433', '299']}","['433', '299']",2,"{'Open Source': ['433', '299']}"
ATDX:,https://github.com/S2-group/ATDx,['384'],{'Runnig Examples': ['384']},{'Plugin': ['384']},{'Examples': ['384']},{'Source Code': ['384']},"{'It automates a process (e.g., calculate the TD interest)': ['384']}",['384'],1,{'Open Source': ['384']}
AUTO-SKLEARN,https://automl.github.io/auto-sklearn/master/,"['217', '240', '319']","{'Runnig Examples': ['217', '240'], 'Proof-of-concept': ['319']}","{'Approach (e.g., integration of different tools)': ['217', '240', '319']}","{'Examples': ['217', '240'], 'Academic Studies': ['319']}","{'Code Comments': ['217', '240', '319']}","{'It automates a task (e.g., static code analysis)': ['217', '240'], 'It automates a task': ['319']}","['217', '240', '319']",3,"{'Open Source': ['217', '240', '319']}"
BETTERCODEHUB,https://bettercodehub.com,['248'],{'Proof-of-concept': ['248']},{'Tool': ['248']},{'Academic Studies': ['248']},{'Source Code': ['248']},{'It automates a task': ['248']},[],1,{'Open Source': ['248']}
CAST,http://www.castsoftware.com/,"['88', '184', '334', '348', 'Zengyang-S17', 'Zengyang-S16']","{'Proof-of-concept': ['88', '184'], None: ['334', '348'], 'Demonstration in real environment': ['Zengyang-S17', 'Zengyang-S16']}","{'Tool': ['88', '184', 'Zengyang-S17', 'Zengyang-S16'], None: ['334', '348']}","{'Expert Opinion': ['88'], 'Academic Studies': ['184'], None: ['334', '348'], 'Industrial Studies': ['Zengyang-S17', 'Zengyang-S16']}","{'Source Code': ['88', '184', 'Zengyang-S17', 'Zengyang-S16'], None: ['334', '348']}","{'It automates a task (e.g., static code analysis)': ['88'], 'It automates a task': ['184', 'Zengyang-S17', 'Zengyang-S16'], None: ['334', '348']}",[],6,"{'SonarQube is open source, other commercial.': ['88'], 'Free': ['184'], None: ['334', '348'], 'Commercial/Private': ['Zengyang-S17', 'Zengyang-S16']}"
CAST SOFTWARE,https://www.castsoftware.com/,['289'],{'Proof-of-concept': ['289']},{'Tool': ['289']},{'Academic Studies': ['289']},{'Source Code': ['289']},{'It automates a process': ['289']},[],1,{'Free': ['289']}
CBR INSIGHT,https://github.com/StottlerHenke,"['136', '205']","{'Proof-of-concept': ['136'], 'Validation in relevant environment': ['205']}","{'Plugin': ['136'], 'Tool': ['205']}","{'Examples': ['136'], 'Industrial Studies': ['205']}","{'Source Code': ['136'], 'Source code': ['205']}","{'It automates a task': ['136', '205']}","['136', '205']",2,"{'Open Source': ['136', '205']}"
CHECKSTYLE,http://checkstyle.sourceforge.net/checks.html,"['133', '281', '290', '329', '332', '57', '4', 'Zengyang-S83']","{'Runnig Examples': ['133'], 'Proof-of-concept': ['281', '290', '329'], 'Demonstration in real environment': ['332', 'Zengyang-S83'], 'Demonstration and test in real environment': ['57'], 'Successfully proof in a real environment': ['4']}","{'Tool': ['133', '290', '329', '332', '57', '4', 'Zengyang-S83'], 'Plugin': ['281']}","{'Examples': ['133'], 'Academic Studies': ['281', '290', '329'], 'Industrial Studies': ['332', '57', 'Zengyang-S83'], 'Industrial Applications': ['4']}","{'Source Code': ['133', '281', '332', '57', '4', 'Zengyang-S83'], 'Source Code\r\nCode Reviews': ['290'], 'Souce Code\r\nMDD Models': ['329']}","{'It automates a task': ['133', '281', '290', '329', '332', '4'], 'It automates a process': ['57', 'Zengyang-S83']}",['332'],8,"{'Open Source': ['133', '290', '329'], 'Free': ['281', '332', '57', '4', 'Zengyang-S83']}"
CK,https://github.com/mauricioaniche/ck,"['310', '166']","{'Proof-of-concept': ['310', '166']}","{'Tool': ['310', '166']}","{'Academic Studies': ['310', '166']}","{'Source code': ['310'], 'Source Code': ['166']}","{'It automates a process': ['310'], 'It automates a task': ['166']}",[],2,"{'Open Source': ['310', '166']}"
CK [26],https://github.com/mauricioaniche/ck,['387'],{'Proof-of-concept': ['387']},"{'Approach (e.g., integration of different tools)': ['387']}",{'Academic Studies': ['387']},{'Source Code\r\nGit Metadata\r\nCode Comments': ['387']},{'It automates a process': ['387']},['387'],1,{'Free': ['387']}
CKJM,http://gromit.iiar.pwr.wroc.pl/p_inf/ckjm/,['332'],{'Demonstration in real environment': ['332']},{'Tool': ['332']},{'Industrial Studies': ['332']},{'Source Code': ['332']},{'It automates a task': ['332']},['332'],1,{'Free': ['332']}
CLANG STATIC ANALYZER,https://clang-analyzer.llvm.org/,['204'],{'Runnig Examples': ['204']},{'Tool': ['204']},{'Examples': ['204']},{'Source Code': ['204']},"{'It automates a task (e.g., static code analysis)': ['204']}",[],1,{'Free': ['204']}
CLANG TIDY,https://clang.llvm.org/extra/clang-tidy.,['402'],{'Proof-of-concept': ['402']},{'Tool': ['402']},{'Academic Studies': ['402']},{'Source Code': ['402']},{'It automates a process': ['402']},[],1,{'Free': ['402']}
CLIO,http://www.cs.umd.edu/~basili/hpcs/index.php_id=21,['9'],{'Proof-of-concept': ['9']},{'Tool': ['9']},{'Academic Studies': ['9']},{'Source Code': ['9']},{'It automates a task': ['9']},[],1,{'Free': ['9']}
CLOC,https://github.com/AlDanial/cloc#quick-start-,['387'],{'Proof-of-concept': ['387']},"{'Approach (e.g., integration of different tools)': ['387']}",{'Academic Studies': ['387']},{'Source Code\r\nGit Metadata\r\nCode Comments': ['387']},{'It automates a process': ['387']},['387'],1,{'Free': ['387']}
COBERTURA,http://msdn.microsoft.com/en-us/library/bb429476.aspx,"['4', 'Zengyang-S83']","{'Successfully proof in a real environment': ['4'], 'Demonstration in real environment': ['Zengyang-S83']}","{'Tool': ['4', 'Zengyang-S83']}","{'Industrial Applications': ['4'], 'Industrial Studies': ['Zengyang-S83']}","{'Source Code': ['4', 'Zengyang-S83']}","{'It automates a task': ['4'], 'It automates a process': ['Zengyang-S83']}",[],2,"{'Free': ['4', 'Zengyang-S83']}"
CODACY,https://www.codacy.com/,['436'],{'Runnig Examples': ['436']},{'Script': ['436']},{'Academic Studies': ['436']},{'Source Code': ['436']},{'It automates a task': ['436']},['436'],1,{'Open Source': ['436']}
CODE INSPECTOR,https://help.sap.com/doc/saphelp_nw74/7.4.16/en-us/49/205531d0fc14cfe10000000a42189b/frameset.htm,['348'],{None: ['348']},{None: ['348']},{None: ['348']},{None: ['348']},{None: ['348']},[],1,{None: ['348']}
CODEARENA,https://github.com/SimonBaars/CodeArena,['225'],{'Runnig Examples': ['225']},{'Tool': ['225']},{'Examples': ['225']},{'Source code': ['225']},{'It automates a task': ['225']},['225'],1,{'Open Source': ['225']}
CODEFACE4SMELLS,https://github.com/maelstromdat/CodeFace4Smells,['267'],{'Proof-of-concept': ['267']},{'Tool': ['267']},{'Academic Studies': ['267']},"{'Github metadata (e.g., number of releases)\r\nSource Code': ['267']}",{'It automates a task': ['267']},['267'],1,{'Open Source': ['267']}
